microtraits.pathways:propionate_oxidation¦"propionate oxidation"¦"microtraits.pathways:propionate_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:pah_degradation¦"PAH degradation"¦"microtraits.pathways:pah_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:mtbe_degradation¦"MTBE degradation"¦"microtraits.pathways:mtbe_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:pcb_degradation¦"PCB degradation"¦"microtraits.pathways:pcb_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:edta_degradation¦"EDTA degradation"¦"microtraits.pathways:edta_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:cellobiose_degradation¦"cellobiose degradation"¦"microtraits.pathways:cellobiose_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:heterotrophic¦"heterotrophic"¦"microtraits.pathways:heterotrophic"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:gelatin_degradation¦"gelatin degradation"¦"microtraits.pathways:gelatin_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:polymer_degradation¦"polymer degradation"¦"microtraits.pathways:polymer_degradation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
microtraits.pathways:uranium_oxidation¦"uranium oxidation"¦"microtraits.pathways:uranium_oxidation"¦"microtrait"¦BiologicalEntity|BiologicalProcess|BiologicalProcessOrActivity|Entity|Mixin|NamedThing|Occurrent|OntologyClass|PhysicalEssenceOrOccurrent|ThingWithTaxon
